i	recharge_time	exec_time
1	0	3600.1193217270047
2	0	3600.2394489660073
0	0	3600.8851656300103
4	0	3600.4078541930066
6	0	3600.025629078009
3	0	3601.2929201119987
5	0	3602.2187382769916
8	0	3600.123088192995
11	0	3600.025552040999
9	0	3600.089771932995
10	0	3600.6487149990135
12	0	3600.3504219629976
13	0	3601.452379429
14	0	3601.5880300910067
17	0	3600.009239915991
18	0	3600.0335362309997
16	0	3600.5272343219985
15	0	3600.5662627869897
19	0	3600.6132570699992
20	0	3600.8076200119976
23	0	3600.0006399890117
24	0	3600.0107271519955
21	0	3601.818988305007
25	0	3600.4354431239917
26	0	3600.1402989240014
29	0	3600.0107474230026
30	0	3600.270410121986
31	0	3600.3038212999963
32	0	3600.598531519994
33	0	3600.0008234190027
35	0	3600.373730258012
36	0	3600.2072779739974
37	0	3601.7113045379956
39	0	3600.9095393020107
41	0	3600.8697205500066
40	0	3602.143007556995
43	0	3600.2563486839936
46	0	3600.331829828996
45	0	3600.500394284012
47	0	3600.0036449190084
49	0	3600.0003284029954
