i	recharge_time	exec_time
5	1008.5500167823194	2.886458913999377
46	1365.4414227322459	0.10978453399729915
47	1064.5858910707668	13.245628824995947
40	1016.974118979855	30.851728558001923
18	1452.4234975732384	220.07682048800052
0	1918.9302962411211	246.95944039098686
4	1281.7395207704396	255.5296113069926
31	1241.650093481324	249.62673558499955
42	1294.1261768763065	269.6170572889969
19	878.9877496427796	305.38229965900246
11	1685.278926837585	2692.471972390995
1	0	3600.2471950519976
2	0	3600.6533446699905
6	0	3600.4328167700005
3	0	3601.2843002419977
8	0	3600.6750976660114
9	0	3600.8104084360093
10	0	3601.7442211960006
13	0	3600.814566141009
14	0	3600.0098745300056
15	0	3601.4826581420057
17	0	3600.140278095001
20	0	3600.0732582560013
21	0	3600.091487259997
22	0	3600.0892784970056
25	0	3600.000030769006
24	0	3600.023587664007
23	0	3600.3262011059996
26	0	3600.2390941979975
28	0	3600.004323810994
27	0	3601.1402639200096
30	0	3600.2669472280104
32	0	3600.0089124969963
34	0	3600.186853448002
36	0	3600.276405504992
37	0	3600.2999689749995
38	0	3600.0004363780026
39	0	3600.1017002459994
41	0	3600.4539096129884
43	0	3600.124785349006
44	0	3600.003352116997
48	0	3600.0000160670024
