i	recharge_time	exec_time
8	1459.5969409042846	236.27631073599332
38	1734.3424626464098	3560.005315459013
3	0	3600.8003362290037
0	0	3601.0633982869913
1	0	3601.964985530998
4	0	3601.035137861996
5	0	3600.3066474410007
9	0	3600.231302867993
6	0	3601.2770773869997
14	0	3600.811950838004
13	0	3600.8455302720104
11	0	3601.3226784709987
18	0	3600.0001574960042
20	0	3600.944365778996
21	0	3601.7285059580026
23	0	3600.87695546099
27	0	3600.8143404599978
28	0	3600.7155416530004
26	0	3602.226544585006
31	0	3601.773511000996
35	0	3600.592754512996
32	0	3600.900437504999
36	0	3600.126661086004
39	0	3600.022302584999
37	0	3600.138850424002
41	0	3600.0005087259924
40	0	3600.1317796119984
42	0	3600.000278299005
44	0	3600.0048798589996
46	0	3600.0037003720063
48	0	3600.0003286249994
