i	recharge_time	exec_time
4	1053.07891294383	0.7332067509996705
9	1423.0958795735216	0.45937623700592667
27	1037.703893737361	22.39832519099582
29	1040.8642481576433	333.076159794
45	781.077666493959	340.1070413030102
40	1394.6626982197579	383.28921180999896
42	1631.3346105680937	377.49195415500435
1	0	3600.511479420995
0	0	3600.67404766001
3	0	3600.600317093995
2	0	3602.1935176650004
5	0	3600.131294655992
7	0	3600.0498483970005
6	0	3600.34426666901
10	0	3600.5748673229973
8	0	3600.697858198997
12	0	3600.2998486010038
11	0	3601.0054366709956
13	0	3600.163638990998
14	0	3600.1143944270007
17	0	3600.187016003998
15	0	3601.1851996469923
18	0	3601.0453711470036
19	0	3600.9494805099966
23	0	3600.2867296979966
22	0	3601.069969941993
24	0	3600.265612795003
21	0	3603.0718750769884
25	0	3600.2027599389985
26	0	3600.5015105850034
20	0	3603.985003526992
32	0	3600.0001680979913
30	0	3600.097878029992
33	0	3600.0448390529928
31	0	3601.1086049479927
36	0	3600.0000823610026
34	0	3600.1278003010084
38	0	3600.000108642009
37	0	3600.0802050019993
35	0	3600.193891738003
39	0	3600.8762425229943
41	1114.879301504153	3598.627492610991
43	0	3600.1272059699986
44	0	3600.6135020630027
46	0	3600.35561153201
47	0	3600.0047077780036
48	0	3600.000086289001
49	0	3600.000105256011
