i	recharge_time	exec_time
37	2160.334657351433	31.813401972001884
4	1200.4512427119041	242.56088503898354
22	1099.6952458351716	236.76843424199615
0	1741.046383458907	2842.1978918570094
48	1407.949127660245	2917.8121820199885
8	1522.9090411193897	3182.4762026070093
36	908.0597695721526	3198.6766763239866
2	0	3601.3297279560065
1	0	3601.7033564999874
7	0	3600.002248249977
5	0	3601.0695727429993
9	0	3602.756140797981
10	0	3601.2222143859835
11	0	3600.2440498239885
13	0	3600.5545926060004
15	0	3601.714892211021
14	0	3602.6471657369984
16	0	3600.7642442620127
23	0	3600.5956085320213
20	0	3601.850468505989
24	0	3600.9301824099966
17	0	3603.396293354017
21	0	3602.3103307840065
26	0	3601.532159424998
27	0	3600.3722142500046
28	0	3600.002263202012
30	0	3600.0015798160166
32	0	3600.2438161949976
33	0	3603.235279051005
35	0	3601.1054002080054
38	0	3601.295789795986
39	0	3600.9086207229993
42	0	3600.000208360987
41	0	3600.1116927500116
43	0	3600.0001534909825
44	0	3600.000059301994
45	0	3600.000355587981
46	0	3600.0001624689903
47	0	3600.0042817999783
49	0	3600.0002153879905
