i	recharge_time	exec_time
29	916.966955924225	27.385929062002106
48	1290.6014174784943	13.87806667899713
30	916.4324252453067	121.16440970799886
16	1197.0209307814557	2093.9653674959845
8	1101.0984178959948	2161.1659377860196
39	1017.1050491621065	2229.90005267199
12	1126.5579370209614	2259.9411770509905
7	1459.5268024318386	2322.2568116770126
44	1492.5882247432507	2300.6108672840055
22	1115.949651025074	2317.8833550519776
49	1333.4087573668694	2303.8441100649943
5	1514.0707555493418	2358.939576623001
10	1757.3628909457684	2439.4620849299827
4	0	3600.104479119007
6	0	3600.7993838269904
11	0	3600.1919123510015
15	0	3600.900458448974
21	0	3600.552204011008
18	0	3602.3655103350175
20	0	3601.1713048699894
28	0	3600.075395559019
27	0	3600.6832637999905
31	0	3600.000018824998
32	0	3600.80852435602
33	0	3600.36666050402
36	0	3600.084373942984
37	0	3600.000166187994
38	0	3600.000094368006
41	0	3600.4377391849994
43	0	3600.0029025459953
45	0	3600.000527596014
46	0	3600.000506278011
