i	recharge_time	exec_time
2	2185.5244518421096	230.95249126999988
43	1648.1284908514324	242.43747233199247
9	2270.120633473741	293.2639283190074
15	1627.8866953573686	295.43721619401185
29	1889.4569262872217	287.64464464400953
8	1610.7223940066165	322.38103909300116
36	2318.4452793706478	2943.0177370950114
1	0	3600.0033584359917
5	0	3600.480700715998
6	0	3600.6833338150027
11	0	3600.0006617530016
7	0	3601.256680777995
14	0	3600.0001478439954
17	0	3600.063347195988
10	0	3602.053714509995
18	0	3600.743452357012
13	0	3602.401692790998
20	0	3600.5382080619893
21	0	3600.254874987004
16	0	3602.3036860959983
24	0	3600.046276121997
22	0	3600.617498706997
25	0	3600.8155925439933
27	0	3600.003217792997
28	0	3600.831110289
30	0	3600.0007522560045
32	0	3600.264302869007
33	0	3600.0003049939987
35	0	3600.0041926620033
34	0	3600.1404956920014
37	0	3600.003374741995
38	0	3600.594416922002
39	0	3600.1100090539985
42	0	3600.000560403001
45	0	3600.000830289995
46	0	3600.000298725994
47	0	3600.0001385360083
