i	recharge_time	exec_time
2	1885.0345567255843	2041.3170110369974
20	1926.3412598510563	2177.686455897987
7	0	3600.0118802520155
6	0	3600.056703626993
3	0	3600.707882212999
10	0	3601.0059421650076
12	0	3600.880615351023
15	0	3600.0937203879876
23	0	3600.0993407579954
18	0	3601.6289641349867
29	0	3600.005158980988
33	0	3600.0027296550106
35	0	3600.000442190998
36	0	3600.000328249007
37	0	3600.826373254007
41	0	3600.0359591160086
42	0	3600.096388567006
44	0	3600.003825355001
46	0	3600.0005626100174
