i	recharge_time	exec_time
12	1579.5430681982807	2936.135387811002
24	1807.193504876058	3080.1615747179967
34	1602.5607871993047	3161.7796868110017
41	2310.5887495475904	3174.1545791099998
3	0	3600.5336749250055
7	0	3600.3983785620003
0	0	3601.8399044530015
9	0	3600.002015949998
14	0	3600.001345128003
13	0	3600.0463478599995
18	0	3600.000090163994
16	0	3600.211805000996
17	0	3600.1127791769977
10	0	3602.223013105002
20	0	3600.3036795340013
23	0	3600.6601645560004
26	0	3600.2048156870005
28	0	3600.456432650004
27	0	3600.490235559999
29	0	3600.0100090350024
30	0	3600.341377591001
32	0	3600.291906052
35	0	3600.6460158570044
38	0	3600.883488858999
39	0	3600.000156096001
40	0	3600.0080547619946
42	0	3600.005677465997
43	0	3600.715869439002
48	0	3600.0001649240003
49	0	3600.0001979559966
