i	recharge_time	exec_time
16	1740.971141062113	9.763149385005818
26	1293.6923541613728	21.47991531700245
36	617.9986862314864	27.13632473400503
35	1119.5701137082324	30.248132377004367
0	0	3600.209621158996
1	0	3600.224075412989
2	0	3600.2069107900024
5	0	3600.0002231120015
4	0	3600.2011126829893
3	0	3600.9291585989995
6	0	3601.2830092889926
7	0	3600.1360129660025
8	0	3601.661210207996
10	0	3600.442585412995
9	0	3601.3116223510006
11	0	3600.005891061999
13	0	3600.083855183999
12	0	3602.6089552699996
15	0	3601.929548781991
17	0	3600.1352640409896
19	0	3600.0046069539967
18	0	3600.531652138001
22	0	3600.4797559989966
20	0	3601.5203309569915
21	0	3602.6803763149946
23	0	3601.0303053649986
25	0	3600.8642308260023
29	0	3600.3780228510004
24	0	3603.0694734760036
27	0	3602.479676226998
30	0	3601.3602654809947
28	0	3602.514005129997
31	0	3600.7790861459944
32	0	3601.7205999849975
33	0	3600.0004948720016
34	0	3600.005228602997
37	0	3600.0424734090047
38	0	3600.210725597004
39	0	3601.5212091079884
41	0	3600.172960993994
40	0	3600.496225349998
42	0	3601.088005942991
44	0	3600.0026613139926
43	0	3600.0362966899993
45	0	3600.0558912179986
46	0	3600.228423086999
47	0	3600.000021922009
48	0	3600.0027456890093
49	0	3600.000471270003
