i	recharge_time	exec_time
1	2064.2949236963987	3383.47546126401
7	1391.9901105969504	3531.2927574439964
3	0	3600.0185327579966
4	0	3600.000252155005
5	0	3600.9119770270045
8	0	3600.0039763100067
6	0	3600.5255018000025
10	0	3600.0403175780084
11	0	3600.9458869899972
12	0	3601.6512017429923
16	0	3600.153611995993
14	0	3601.784848714
21	0	3600.3891433890094
20	0	3600.4382114799955
19	0	3600.4509799249936
17	0	3601.7739399600105
22	0	3600.174922980994
23	0	3600.040040206004
13	0	3603.4319603059994
18	0	3602.434069812007
25	0	3600.309300888999
27	0	3600.001400356996
26	0	3600.1034886510024
28	0	3600.2591470780026
30	0	3600.053743644996
31	0	3600.7463752360054
33	0	3600.106688669999
38	0	3600.1345797370013
39	0	3600.0011618380086
40	0	3600.000280431006
43	0	3600.170394554996
44	0	3600.0000726530125
45	0	3600.0003963229974
