i	recharge_time	exec_time
10	1209.6543251378216	216.51216176099842
43	1364.7728279563153	2089.334604011994
5	1365.9784608458133	2189.049699837982
22	1928.9025037411552	2356.188523072982
4	0	3600.0401439429843
2	0	3600.359051406005
0	0	3600.839757217007
1	0	3600.822087063978
11	0	3600.000139444979
8	0	3600.59160052301
7	0	3600.854142426979
9	0	3600.590501722996
23	0	3600.000268410018
15	0	3601.2746326389897
24	0	3600.2827370090235
14	0	3601.784294543002
25	0	3600.525807111
30	0	3600.01543882399
27	0	3600.534735127003
29	0	3600.069652230013
32	0	3600.000124790997
33	0	3600.35734274899
41	0	3600.0066482029797
45	0	3600.0010826660146
44	0	3600.061553859996
46	0	3600.0001005120284
48	0	3600.000151593995
