i	recharge_time	exec_time
0	1170.1323315083623	0.008381033000000038
4	603.2441053075565	0.124352346
9	1128.3486854321636	0.8070046889999998
11	1405.1451582217135	2.1988495190000004
16	864.2997923920915	0.012373568000000112
12	668.375248206735	15.815557208000001
25	2022.246817322693	3.8014383920000014
33	1600.792746702448	0.012724455000000745
35	1124.0816135850196	0.0009629850000010265
31	650.4318563731854	21.27383422
47	1011.1919014069028	2.8306026819999985
28	953.3039629867963	219.490602964
6	813.0163770439518	249.142949635
23	1366.4903642540348	284.96903298
15	982.1614204817707	2885.886434171
41	1062.0100102374242	2870.630820621
7	1054.3797393191985	2936.022888441
34	561.5715831116395	2953.85737724
10	601.1075761227801	2989.948582429
29	803.7710608146208	2991.481717523
27	768.1420384405842	3006.662249344
14	861.2630877856546	3039.0657583360003
20	587.3738198019325	3047.564800513
21	990.4596188848503	3049.4942676359997
8	1173.3955894145881	3063.376514255
44	1031.900662769817	3034.203662029
19	888.1820113628593	3062.758274672
5	668.6952383367013	3073.586068186
48	899.6367834514319	3040.0025972579997
38	1287.6064925125158	3059.6043153289997
43	1038.2123432670712	3071.7618404070004
24	914.0539371450145	3101.740268868
46	782.1189614418442	3077.365969501
26	850.1093703417096	3105.438936435
3	916.1840871912985	3123.619007968
1	914.6735413053584	3124.103615897
18	1148.0810111668668	3121.3557166759997
17	849.8667314512827	3127.819726801
2	472.5645730366331	3137.679895359
40	988.5984722574786	3108.158432854
45	1056.3989869592003	3142.338832233
39	750.7928366975418	3164.668987745
13	0	3600.635354861
22	0	3600.089692178
30	0	3600.448127801
32	0	3600.182621798
36	0	3600.000063251
37	0	3600.624291133
42	0	3600.00290352
49	0	3600.000365446
