i	recharge_time	exec_time
0	995.295159088002	3.6051323560241144
16	1439.1288544334973	7.760772673005704
17	904.6698752839382	10.382395155000268
32	1338.9272113022375	19.817536307004048
47	1178.152374589493	0.01330652998876758
41	1103.769781289496	22.45810127700679
5	991.7895625645154	191.71815955001512
19	1020.9555276913632	192.22343205599464
1	845.8041278024829	230.34099042002345
11	988.4447967024564	227.75387524298276
13	992.8433346258216	230.52888722898206
30	1328.6671424229166	235.15181834300165
18	1139.4470356749375	257.21639026902267
29	998.9371201022573	247.0257140600006
14	950.1137245507196	263.1538770190091
23	1048.1777548729215	2199.6480325390003
2	1027.9740309701986	2265.882441974012
7	855.8622068158807	2294.309527350997
9	1016.7209083972748	2365.335141749005
3	579.6187387588932	2396.338170411007
35	1000.9439474595356	2376.029412553995
49	725.6213201027373	2363.1163790080172
34	945.6486207359599	2515.830409148999
4	0	3600.6851598520007
6	0	3600.0711249310116
8	0	3600.285786294
12	0	3600.1049577950034
15	0	3601.716848261014
10	0	3604.71171940802
21	0	3600.3105179620034
25	0	3600.0001697950065
24	0	3600.3757455850136
22	0	3601.014224416984
27	0	3601.60213496699
28	0	3600.665325398004
31	0	3601.66536242899
33	0	3600.162970602978
37	0	3600.1751228270005
38	0	3600.0016093669983
39	0	3600.513991621003
40	0	3600.135035957006
42	0	3600.000183957978
43	0	3600.4220054110046
44	0	3600.3542564210074
46	0	3600.000288389012
48	0	3600.0001469260023
