i	recharge_time	exec_time
4	0	3600.0027391879994
7	0	3600.0002757160037
1	0	3600.952737779997
10	0	3600.537313009998
9	0	3600.5598137159977
11	0	3600.7119922730053
8	0	3600.7878679710047
16	0	3600.1031607199984
20	0	3600.065004336997
25	0	3600.0349472279995
27	0	3600.592801810002
31	0	3600.001999249005
32	0	3600.377380912003
33	0	3600.379972057999
34	0	3600.043146532
35	0	3600.0048405330017
36	0	3600.575188255003
39	0	3600.141708174
40	0	3600.207379735002
42	0	3600.002531471
44	0	3600.4138743959993
45	0	3600.0002431409957
49	0	3600.0004943769964
