i	recharge_time	exec_time
1	1589.354232230396	1.282353394999518
29	1348.1054501938327	11.930748401999153
13	1213.387795188801	34.74983636700199
37	1593.4006344775391	12.525177472998621
45	1216.5029847680898	0.0007842489976610523
41	1332.1842149877812	21.43580255100096
28	938.8955462463455	38.595026459999644
39	1063.1215889368273	25.715468272999715
6	1764.684476888563	239.32089062399973
15	1538.4023071425686	258.3383095579993
10	961.4003187893942	269.38946433199817
30	942.0773328799528	265.72215924000193
2	1888.1542862513206	303.4852076870011
5	1058.8717514628288	319.9384301030004
18	1367.5767237578054	312.187501714001
42	1059.765478531685	282.50355618899994
47	1658.8116151724423	303.15912551099973
49	1148.177927893003	391.4537463090019
0	0	3600.895896901002
4	0	3600.0019429290005
9	0	3600.004754056001
3	0	3600.9043441430003
7	0	3601.3339941269987
8	0	3603.1241683379994
12	0	3600.5321936539985
11	0	3600.5607462669977
14	0	3600.225621163998
17	0	3600.004774685003
16	0	3600.903459248999
21	0	3600.000278276002
19	0	3600.8054158699997
23	0	3600.000338439
20	0	3601.729668133001
24	0	3600.000398643999
26	0	3601.544470722998
25	0	3602.232932756
27	0	3600.5203530260005
31	0	3601.436552580002
32	0	3600.4113476169987
34	0	3600.3349819430005
33	0	3601.0143013199995
36	0	3602.834363787999
35	0	3605.3895691379985
38	0	3600.0054187970018
40	0	3600.2672906570006
43	0	3600.0003607940016
44	0	3600.0002122020014
46	0	3600.0002694100003
