i	recharge_time	exec_time
23	1619.597342442261	5.0129830410005525
46	1599.4982249468867	25.91818492099992
6	1123.3623604267855	273.89137331000165
22	1101.7038777821683	270.39194405300077
17	1011.5797651792783	279.56076220699833
36	1027.510642424499	270.8453296009975
19	1549.370318581483	312.7787646720026
42	1073.1834055754857	330.5954166979973
13	1284.6724603170887	2969.1255957430003
39	1535.5672123029497	3095.5037433159996
2	0	3600.0685490059986
1	0	3600.956336957999
3	0	3601.7406110919983
5	0	3601.1352676200004
0	0	3602.523234848002
7	0	3600.497745534998
8	0	3600.073093657
9	0	3600.9238355279995
10	0	3600.4297216000014
12	0	3600.003934909997
11	0	3603.6766524469967
18	0	3600.402468346001
20	0	3600.0767413549984
14	0	3601.550743282998
29	0	3600.044634845999
28	0	3600.136078767002
32	0	3600.0003419040004
30	0	3602.403706701003
31	0	3600.9355273519977
33	0	3600.134881894999
34	0	3600.0554020849995
37	0	3600.6839682110003
35	0	3601.1036869689997
38	0	3600.0002885910035
40	0	3600.119765380001
41	0	3600.2939350060005
45	0	3600.0030693359986
44	0	3600.0616478260017
48	0	3600.0004271200014
