i	recharge_time	exec_time
6	2669.562138593281	194.32490543401218
8	1547.657207695204	2408.246932374983
11	1968.0156349385989	2612.631781014992
2	1980.047891498943	2629.001148701005
34	1949.7670176983488	2793.8402346670046
3	0	3600.9926883169974
1	0	3601.0558501149935
7	0	3600.0056746180053
12	0	3600.4740549180133
16	0	3601.4023790509964
17	0	3600.7009299779893
18	0	3600.0003203960077
21	0	3600.0019738400006
22	0	3600.0520479280094
20	0	3600.6308627600083
27	0	3600.000015144993
25	0	3600.4090137919993
26	0	3600.1648843000003
23	0	3603.3837008449773
31	0	3601.437356666982
32	0	3600.7227288949944
33	0	3600.777007438999
38	0	3600.484593642992
42	0	3600.786761211988
44	0	3600.0051454950008
46	0	3600.004158155003
49	0	3600.000529327983
