i	recharge_time	exec_time
36	1267.907130440613	378.4999442469998
44	1957.0390780979583	400.35595072299475
1	0	3600.0299554800004
3	0	3600.6610440840013
0	0	3600.9875352340023
2	0	3600.9621763500036
6	0	3600.1648005069874
4	0	3600.4967965459946
9	0	3600.4037235809956
5	0	3601.6673857610003
10	0	3600.7845540950075
8	0	3601.944263796002
7	0	3602.2984376509994
12	0	3600.0048159180005
11	0	3600.089498208996
14	0	3600.001081330003
15	0	3601.3491829859995
13	0	3603.934729674991
16	0	3600.0916947570076
17	0	3600.2496537510015
18	0	3600.3892084010004
19	0	3600.1183279950055
21	0	3600.0010820000025
20	0	3601.980089909004
26	0	3600.0041427219985
23	0	3600.9442508470092
24	0	3600.665261363989
25	0	3600.7926670340094
28	0	3600.243932592013
29	0	3600.6648691180017
30	0	3601.3397830640024
32	0	3600.516760962011
31	0	3601.0723339990072
33	0	3600.004647427995
34	0	3603.061313056998
35	0	3600.677874170011
37	0	3600.301046512992
39	0	3600.0313209269952
38	0	3600.4244650069886
40	0	3600.0000384020095
42	0	3600.004289396995
43	0	3600.674507887001
45	0	3600.000111180998
46	0	3600.005234684999
48	0	3600.005402015988
49	0	3600.000546661002
