i	recharge_time	exec_time
39	2072.894003849007	173.5566627240005
19	2422.1081318140878	1775.5848081559998
10	2891.3631098285286	1848.2052853189998
0	0	3600.743453129
4	0	3600.7266755130004
2	0	3601.0494795430004
6	0	3601.278396926
13	0	3600.1812488039996
12	0	3600.8280823780005
9	0	3602.8133058900003
21	0	3600.003599558
26	0	3600.2375280939996
29	0	3600.1286310349988
30	0	3600.075307470999
34	0	3600.0002399580007
35	0	3600.024589573999
38	0	3600.000107661999
40	0	3600.0000720610005
41	0	3600.000691049001
49	0	3600.0004074400003
