i	recharge_time	exec_time
1	0	3600.186074133002
2	0	3600.3529653939986
3	0	3601.3673621609923
4	0	3601.3273695570024
5	0	3602.476214754999
0	0	3605.4493060500026
9	0	3600.278693322005
10	0	3600.000294783007
11	0	3602.1514921779963
14	0	3600.0004454880036
13	0	3600.444688386
16	0	3600.0006662930027
17	0	3600.615877006996
15	0	3600.760762386999
19	0	3601.059819037
21	0	3600.605763751002
23	0	3600.4458003320105
25	0	3600.7104235970037
27	0	3600.0489941220003
31	0	3600.3656609080062
33	0	3600.5958738020054
34	0	3600.3852073840026
36	0	3600.5027084500034
37	0	3600.1090933509986
41	0	3600.000365383996
42	0	3600.002114078001
43	0	3600.4603124470013
46	0	3600.0052395509992
48	0	3600.000106227999
49	0	3600.000069558002
