i	recharge_time	exec_time
25	2923.4568206754993	188.9549495970059
45	2127.110508017676	225.06116974900215
43	1821.7240811691638	256.45791052599816
33	1265.712156185887	286.38068621599814
49	2078.390732731331	2746.1767710159984
7	1608.7387198864158	2850.007870270998
6	0	3600.0081456400003
3	0	3601.2901757410036
11	0	3601.0924071300033
15	0	3600.001990273995
14	0	3600.045706071003
17	0	3600.6826234149994
8	0	3603.892892791002
12	0	3601.3796534239955
18	0	3600.3504243630014
20	0	3600.0360503429984
19	0	3600.324680214995
21	0	3600.051066879998
24	0	3600.640744680997
27	0	3600.230696393999
28	0	3600.0001065920005
31	0	3600.5269611859985
32	0	3600.504328752002
35	0	3600.3599034220024
38	0	3600.2388573479984
39	0	3600.215299229996
40	0	3600.0039052130014
41	0	3600.034637636003
42	0	3600.000495608001
46	0	3600.0022170729935
48	0	3600.0001510770016
