i	recharge_time	exec_time
16	1824.315400570991	211.17269158399722
3	0	3600.003409309007
2	0	3600.0736297419935
0	0	3600.637750818001
6	0	3601.7753324980004
9	0	3601.2590886800026
7	0	3601.610199607996
11	0	3600.0573313060013
13	0	3600.0454945149977
14	0	3600.8954703280033
15	0	3600.974324903
17	0	3600.2202602199977
21	0	3602.648062071996
25	0	3600.5660639439884
26	0	3600.612240820992
27	0	3600.0000262309914
29	0	3601.0804131769983
36	0	3600.0038015079917
34	0	3600.224614990002
32	0	3601.419383820001
37	0	3600.0005554780073
39	0	3600.4236872309993
40	0	3600.340889629995
42	0	3600.000933297997
43	0	3600.2241651030054
44	0	3600.0620917539927
45	0	3600.0004371370014
48	0	3600.00006835199
