i	recharge_time	exec_time
17	893.8710119092425	1.5829345910001393
29	1706.2838732745372	5.668148600999757
26	1516.9133069272436	312.2665880090003
2	0	3600.0011653859997
1	0	3600.9996979309994
5	0	3600.854860664
0	0	3601.388801095
4	0	3602.3892326420005
7	0	3601.1321026060004
6	0	3601.3453164500006
10	0	3600.946855418
8	0	3601.081189673
11	0	3600.9768102340004
9	0	3602.3842311380004
12	0	3601.8663870180003
13	0	3600.240010421
15	0	3600.8847447499998
14	0	3601.324192207
16	0	3600.549904906
19	0	3600.6513831479997
23	0	3600.0753114030003
24	0	3600.6796553220006
25	0	3600.6564146940004
22	0	3600.994808229
21	0	3602.7405744290004
27	0	3601.720319271
33	1351.9899035413484	3591.268791282
28	0	3601.3100760599996
30	0	3601.3884762139996
31	0	3600.255711644
35	0	3601.4152728930003
36	0	3600.4156485890003
37	0	3600.0206451970002
38	0	3600.2047482479998
39	0	3600.402344559
40	0	3601.961391372
41	0	3600.0001813719996
42	0	3600.000344781
44	0	3600.194213268
45	0	3600.000007252
46	0	3600.0324681299994
47	0	3600.2607140289997
48	0	3600.0000123340005
49	0	3600.000229395
