i	recharge_time	exec_time
32	2360.0824801308045	3251.2678059219907
9	0	3600.0011299199978
7	0	3600.1494594359974
0	0	3600.3035839620134
13	0	3600.000455289992
14	0	3600.447794605003
17	0	3600.099233784
16	0	3600.558650011997
21	0	3600.000053708005
27	0	3600.002039168001
26	0	3600.1153787259973
24	0	3600.4767768149904
30	0	3600.0337700310047
28	0	3600.5569620649912
31	0	3601.1782796940097
35	0	3600.3537864470127
36	0	3600.3810236639983
38	0	3601.6659717400034
39	0	3600.0006118640013
40	0	3600.0006318679953
44	0	3600.0002644630003
43	0	3600.085690617998
47	0	3600.0007651979977
48	0	3600.000012943012
