i	recharge_time	exec_time
26	1468.4402287327973	163.24458444601623
13	1728.4808881372405	203.6448594609974
48	2355.337070715473	2016.9350311399903
1	1297.7415326155779	2176.268763328
20	1322.8932219105895	2168.6830041180074
38	1837.7750936560117	2208.7702479860163
35	1824.5111601694762	2257.6369543409965
19	1502.5724209283496	2290.3003799209837
36	1763.2817311553142	2344.1169733190036
31	1405.887246709688	2392.6487164940045
5	0	3600.3546842210053
2	0	3600.709991116979
3	0	3601.028087499988
8	0	3600.0013152149913
10	0	3600.2141054150125
7	0	3601.1269812590035
11	0	3600.2952627519844
9	0	3601.1452378450194
21	0	3600.739912568999
23	0	3600.6453021929774
28	0	3600.002793901018
29	0	3600.001615610003
30	0	3601.3048401840206
33	0	3601.0074755660025
42	0	3600.1285805849766
43	0	3600.2469333170156
44	0	3600.0001722250017
49	0	3600.0001935779874
