i	recharge_time	exec_time
48	2577.1898194523274	3125.174906168002
33	1900.516215851858	3342.2689078609983
6	0	3600.002501347997
9	0	3600.476617196
1	0	3601.4981363100014
7	0	3602.1688218209965
10	0	3600.000205809003
12	0	3600.9844323969955
11	0	3601.0588138490057
15	0	3600.414365892997
16	0	3600.6963292449946
18	0	3601.6554092130027
21	0	3600.0608289469965
25	0	3600.000988368003
24	0	3601.439032648006
27	0	3600.2210103519974
28	0	3600.1398219500043
31	0	3600.0007281040016
32	0	3600.1322822069997
29	0	3600.9877999210003
36	0	3603.7251742340013
37	0	3600.3722228929983
39	0	3601.1151217430015
40	0	3600.538497380003
38	0	3601.222391700998
42	0	3600.173375397004
43	0	3600.0003325
44	0	3600.0043141080023
47	0	3600.0000138729956
