i	recharge_time	exec_time
0	2087.8333112817995	277.66490543299733
30	2421.833825182286	285.06226058200264
6	0	3600.031987987997
5	0	3600.200939784998
4	0	3601.312894238996
7	0	3601.9206748279976
1	0	3603.6822722030047
11	0	3600.000329524999
10	0	3600.897902908
2	0	3604.1481937849967
16	0	3600.008851790997
12	0	3600.8379441599973
13	0	3600.5139984900015
20	0	3600.0855010960004
18	0	3600.485870892997
19	0	3600.4869048929977
21	0	3600.4513415949987
23	0	3600.001441217006
24	0	3600.0032810440025
28	0	3600.0364952309974
27	0	3600.0681089510035
26	0	3601.0386170120037
29	0	3600.0365864320047
31	0	3600.1140611490046
32	0	3600.5770145959978
35	0	3601.6841270239966
38	0	3603.291915738999
39	0	3600.1731184419987
40	0	3600.000406512001
42	0	3600.538055571
43	0	3600.0218768090053
44	0	3600.486800853003
45	0	3600.126726524999
46	0	3600.172912327005
47	0	3600.0000600019994
49	0	3600.000072379
