i	recharge_time	exec_time
7	0	3600.0174255579914
3	0	3600.152602105998
2	0	3600.1975168780045
1	0	3600.2206774499937
6	0	3600.1828763850062
4	0	3600.471782765002
8	0	3600.3818236030056
13	0	3600.2984519220045
12	0	3600.484644408003
15	0	3600.0007402180054
16	0	3600.496607811001
9	0	3601.6838644779928
5	0	3602.9275362110056
17	0	3600.547562769003
18	0	3600.953636715989
20	0	3600.339940560996
24	0	3600.1393834670016
23	0	3600.492373902991
22	0	3600.6750169129955
28	0	3600.5597249509883
27	0	3602.1170613519935
32	0	3600.0034412109962
33	0	3600.0494010590046
34	0	3600.4635434749944
36	0	3600.972579014997
37	0	3600.0815423120075
38	0	3600.662355481996
42	0	3600.0038483389944
45	0	3601.0126087969984
46	0	3600.0003233310126
47	0	3600.0007914390007
48	0	3600.001086557997
