i	recharge_time	exec_time
44	1411.902569984321	2.610409790999256
25	1238.9961056944164	213.78481949699926
33	1709.7308300430407	248.67235572800564
28	1156.567052398956	291.6299890930095
9	910.3369105950644	327.11972913298814
0	1534.971469159205	3273.7289609480067
29	929.7817974754379	3310.8182774060115
1	0	3600.0001486260007
4	0	3600.631998215991
7	0	3600.0237648939947
6	0	3600.0630421370006
5	0	3600.7200551959977
11	0	3600.057454902999
17	0	3600.0032527329895
14	0	3601.9702797359932
10	0	3603.179095938991
16	0	3600.480929737998
21	0	3600.0172136580077
20	0	3600.9943237919942
18	0	3601.4122268659994
22	0	3600.4604123809986
23	0	3600.203508289007
24	0	3602.625976826006
26	0	3600.1698072610016
27	0	3600.8091471419903
30	0	3600.2719104559947
31	0	3600.171491276007
32	0	3600.5986741449888
34	0	3600.7573390280013
35	0	3600.2483090410096
37	0	3601.0474857179943
38	0	3600.0006742760015
39	0	3600.1953644579917
40	0	3600.0047227489995
42	0	3600.2688202499994
43	0	3600.003854118011
47	0	3600.0000452349923
46	0	3600.112856574997
48	0	3600.0000881269953
49	0	3600.000145140002
