i	recharge_time	exec_time
0	0	3601.2771490949963
3	0	3600.5115711489925
2	0	3601.8109709319833
4	0	3600.134683041004
10	0	3600.0027286749973
11	0	3600.001867963001
12	0	3600.548465077998
15	0	3600.000515593012
20	0	3601.809200434989
19	0	3602.029338085995
22	0	3600.600410457002
25	0	3600.160463353008
28	0	3601.331687454018
32	0	3600.000921068
34	0	3601.6594258940167
37	0	3600.0000564169895
36	0	3600.188067319992
40	0	3600.6652175250056
43	0	3600.0058667769918
44	0	3600.025352084005
45	0	3600.003435466002
47	0	3600.0001384829957
49	0	3600.0003677089844
