i	recharge_time	exec_time
29	1423.498718248714	1925.4374869480089
23	2088.7044064602464	1972.1187276380078
12	2137.3511349724295	2139.8963111600024
3	0	3600.2865303619765
1	0	3600.3232456549886
6	0	3600.462017534999
4	0	3600.860657288984
11	0	3600.887660575012
15	0	3600.0078979910177
14	0	3600.1048399439896
17	0	3600.171889563004
19	0	3601.11732092101
24	0	3600.000331373012
25	0	3600.001949308993
33	0	3600.877278612985
35	0	3600.014152235992
38	0	3600.524060447002
42	0	3600.003072966996
43	0	3600.000427639985
44	0	3600.1515668199863
45	0	3600.0000099850004
47	0	3600.0004923320084
